CustomerID,Age,Income,LoanAmount,CreditScore,Default
C0212,31,168399,48556,578,0
C0213,37,67057,43828,707,1
C0214,58,26150,49604,804,0
C0215,44,24425,11526,593,1
C0216,25,36032,4374,576,1
C0217,54,22198,26592,737,0
C0218,26,171151,29982,406,0
C0219,42,187292,1207,719,0
C0220,31,192946,36433,728,0
C0221,36,164931,24197,674,0
C0222,53,182491,34400,372,0
C0223,29,138865,4083,329,0
C0224,26,159777,30328,487,0
C0225,36,193952,47479,663,0
C0226,49,43236,43891,750,0
C0227,23,107955,21103,494,0
C0228,40,123145,40891,455,0
C0229,56,166430,11754,471,0
C0230,39,114914,35447,340,0
C0231,46,122870,16901,362,0
C0232,23,136243,34004,322,0
C0233,39,34596,8446,659,0
C0234,40,184644,38211,374,0
C0235,52,152351,49231,417,0
C0236,27,131496,30301,679,0
C0237,61,150273,27116,589,0
C0238,53,158155,42323,739,0
C0239,60,140674,19752,306,0
C0240,59,140307,33376,495,0
C0241,38,168843,17669,720,1
C0242,60,181047,33916,492,0
C0243,21,196720,14395,447,0
C0244,31,199357,21421,501,0
C0245,48,39063,27342,743,0
C0246,45,87642,5895,718,0
C0247,43,110093,12023,726,0
C0248,51,188671,11699,778,0
C0249,50,179601,10715,774,0
C0250,62,55954,20169,425,0
C0251,55,47856,17163,694,1
C0252,27,22573,6782,624,1
C0253,36,55367,23641,691,0
C0254,46,119608,19792,739,0
C0255,22,80774,36585,503,0
C0256,21,43752,31682,785,0
C0257,32,75029,48864,330,0
C0258,25,168757,19880,687,0
C0259,57,150282,39067,733,0
C0260,52,71693,43685,675,1
C0261,29,136739,19073,643,0
C0262,61,75961,37035,742,0
C0263,55,146678,38174,374,0
C0264,39,94532,25837,454,0
C0265,36,101994,18826,729,0
C0266,23,76133,25981,662,0
C0267,40,81268,11382,747,0
C0268,44,189315,5437,533,1
C0269,53,51653,6435,561,0
C0270,44,177729,25819,424,0
C0271,31,191024,37875,544,0
C0272,28,173252,32982,841,1
C0273,56,141829,34328,784,0
C0274,58,148377,13329,421,0
C0275,60,21622,26169,424,1
C0276,40,68756,22932,848,0
C0277,55,60809,35594,469,1
C0278,45,36725,12421,423,0
C0279,55,71226,46033,334,0
C0280,45,101182,8629,386,0
C0281,49,49402,9325,500,0
C0282,38,24263,29495,668,0
C0283,38,197900,32750,376,0
C0284,22,67924,30619,358,0
C0285,55,94182,41461,730,0
C0286,36,162736,9264,799,1
C0287,61,55737,13686,408,1
C0288,56,121332,47484,577,0
C0289,53,109563,25226,367,1
C0290,24,180445,7721,368,0
C0291,53,187469,21609,464,0
C0292,34,148575,8373,788,0
C0293,41,121371,39675,604,0
C0294,40,58709,49895,664,0
C0295,28,170322,29937,678,0
C0296,27,41172,6656,642,0
C0297,23,31555,9984,653,0
C0298,37,73276,30984,715,0
C0299,53,77492,9286,408,1
C0300,32,109599,6901,796,0
C0301,42,175834,32552,640,1
C0302,42,31046,26709,682,1
C0303,50,136021,32055,832,1
C0304,58,179841,38685,599,1
C0305,58,174222,9429,438,1
C0306,28,24853,15716,658,0
C0307,47,140900,49563,798,0
C0308,47,172864,12138,684,0
C0309,54,79129,36298,579,0
C0310,41,134130,24429,782,0
C0311,50,183059,6772,410,0
C0312,53,166922,49244,438,1
C0313,48,163184,49519,734,1
C0314,53,141789,36732,808,1
C0315,25,175130,40905,572,0
C0316,39,196492,18347,398,0
C0317,24,58890,17920,403,0
C0318,55,86017,32822,513,0
C0319,37,198376,47659,464,0
C0320,64,183993,41108,819,0
C0321,48,152596,24563,583,1
C0322,50,120424,8967,816,0
C0323,49,35048,46183,463,0
C0324,26,186183,12871,363,0
C0325,55,188976,29763,390,0
C0326,61,74912,12916,416,0
C0327,57,54008,9734,566,1
C0328,44,151132,34613,439,0
C0329,49,103559,29179,545,0
C0330,51,75337,36262,694,0
C0331,55,130616,13677,786,0
C0332,53,33350,19268,775,0
C0333,41,44354,13330,816,0
C0334,52,65186,21733,483,0
C0335,43,48145,38947,319,0
C0336,53,185092,28286,823,0
C0337,23,106123,7610,828,0
C0338,38,40581,7430,446,1
C0339,45,108929,40922,603,0
C0340,62,43051,14828,527,0
C0341,51,71474,43913,401,0
C0342,23,111748,32497,716,0
C0343,60,145995,40256,515,0
C0344,44,89626,37618,706,0
C0345,52,26960,47332,698,0
C0346,42,186844,27526,798,1
C0347,43,172592,31158,764,0
C0348,22,56408,26032,381,1
C0349,47,114006,38846,664,0
C0350,62,77134,45936,462,1
C0351,22,171563,30794,347,1
C0352,46,152413,6448,810,0
C0353,37,195695,29861,628,1
C0354,60,110327,29141,415,0
C0355,53,151410,10074,636,1
C0356,29,163326,7406,446,0
C0357,63,31344,32823,622,0
C0358,59,152822,24291,742,0
C0359,49,87957,42568,312,1
C0360,62,125423,33003,793,0
C0361,46,78053,47851,586,0
C0362,55,166968,35406,413,0
C0363,45,97454,24312,779,1
C0364,44,110600,44108,321,0
C0365,33,142732,2382,648,0
C0366,27,179007,35171,619,0
C0367,56,57641,42779,425,0
C0368,40,49711,4292,576,0
C0369,21,90342,42779,503,1
C0370,28,126896,34187,493,0
C0371,36,163254,13411,846,0
C0372,34,107833,38285,585,0
C0373,32,76276,16422,356,0
C0374,43,39541,43468,602,0
C0375,35,114457,33371,462,0
C0376,48,64813,6693,318,0
C0377,54,188270,34535,669,1
C0378,22,159892,15818,563,0
C0379,52,44070,32238,412,1
C0380,43,162194,31874,787,1
C0381,42,100559,27715,626,0
C0382,45,61786,28605,841,1
C0383,42,157809,35317,364,0
C0384,42,56062,32174,591,0
C0385,62,71571,10956,324,0
C0386,26,45510,39908,848,0
C0387,35,39426,11837,300,0
C0388,63,57265,4716,848,0
C0389,57,168922,5481,440,0
C0390,53,86150,25282,487,0
C0391,28,107312,7548,427,1
C0392,64,109613,38605,500,0
C0393,64,94910,8758,426,0
C0394,25,72375,44668,556,0
C0395,59,141826,24177,846,0
C0396,24,55435,25022,493,0
C0397,26,116443,41761,403,1
C0398,52,154055,6542,834,0
C0399,50,171734,26476,564,0
C0400,55,43510,31784,683,1
C0401,60,192070,23740,559,1
C0402,36,114071,25817,713,0
C0403,33,26640,48596,657,0
C0404,62,64547,17052,374,0
C0405,50,74620,36153,654,0
C0406,39,166389,48076,487,0
C0407,37,135608,1671,589,0
C0408,39,27564,1163,344,1
C0409,48,178417,42424,382,0
C0410,46,133824,45002,422,0
C0411,57,99273,5795,657,0
C0412,46,94859,11634,827,0
C0413,43,130017,5798,365,0
C0414,29,143618,23420,674,0
C0415,32,145341,30300,461,1
C0416,21,49430,25345,679,0
C0417,21,47788,11749,657,0
C0418,54,199615,39595,487,0
C0419,52,164991,26121,621,0
C0420,45,89346,38487,749,0
C0421,60,116122,29411,773,0
C0422,21,59974,34361,312,0
C0423,36,127309,22223,483,1
C0424,59,36371,8394,410,0
C0425,25,65084,15056,807,0
C0426,42,180701,29380,589,0
C0427,49,81916,27035,594,1
C0428,23,93972,31620,750,0
C0429,32,32984,20877,514,0
C0430,46,53039,44404,326,0
C0431,36,105431,31911,530,0
C0432,57,103691,33784,620,0
C0433,42,78606,4191,532,0
C0434,49,161688,34160,736,0
C0435,34,122665,26000,832,0
C0436,48,125373,40040,702,1
C0437,25,44574,4631,352,0
C0438,50,154502,7172,612,0
C0439,25,163748,43080,580,0
C0440,32,161888,24561,330,1
C0441,36,52733,25817,636,0
C0442,46,22050,21281,482,1
C0443,46,129996,29671,322,0
C0444,41,53933,26364,843,0
C0445,59,44951,42674,745,1
C0446,56,52413,28425,373,0
C0447,53,185873,29602,309,0
C0448,50,183985,24253,783,1
C0449,57,132573,24472,755,0
C0450,43,191672,9080,459,0
C0451,30,186472,8099,313,0
C0452,25,155566,26431,477,0
C0453,56,142744,32186,711,0
C0454,54,109431,48684,352,0
C0455,51,63001,31111,707,0
C0456,30,87364,40851,321,0
C0457,39,144988,23614,329,0
C0458,52,65028,27724,559,1
C0459,21,188645,42991,504,0
C0460,25,151878,5940,358,1
C0461,24,144343,29758,770,0
C0462,36,148301,37224,765,0
C0463,44,146295,8788,311,0
C0464,36,180829,29082,589,0
C0465,22,54636,25034,653,0
C0466,48,199352,36479,374,0
C0467,52,44262,12280,740,0
C0468,47,100435,19052,540,1
C0469,40,148583,17531,453,0
C0470,44,189269,23804,395,0
C0471,32,61844,29903,593,0
C0472,55,84754,45857,508,0
C0473,53,185229,11142,642,0
C0474,53,97129,49355,387,0
C0475,63,60042,10866,689,1
C0476,57,81665,5531,624,0
C0477,32,136953,46454,456,0
C0478,23,178448,39098,436,0
C0479,21,165271,39278,727,0
C0480,53,138533,29138,751,0
C0481,60,93781,28065,440,0
C0482,30,86262,30956,382,0
C0483,63,66600,42732,476,0
C0484,64,96898,40261,497,0
C0485,49,169369,11759,720,0
C0486,33,50448,6439,700,0
C0487,32,46172,48241,770,0
C0488,51,193946,43533,517,0
C0489,22,27657,29270,474,1
C0490,55,176497,14279,322,1
C0491,43,177757,40279,534,1
C0492,37,132855,45251,312,0
C0493,46,175650,24888,400,0
C0494,28,179903,18630,835,0
C0495,49,27906,36144,822,1
C0496,46,81413,32182,751,0
C0497,30,74028,26538,730,1
C0498,46,27287,12824,832,1
C0499,54,53660,33125,592,0
C0500,61,80504,7979,400,0
C0501,27,122979,27189,801,0
C0502,24,54701,43600,603,1
C0503,31,103300,13504,839,0
C0504,49,168746,21669,654,1
C0505,56,103560,7910,602,0
C0506,45,174946,47857,795,0
C0507,41,63642,35964,526,1
C0508,56,85160,21131,535,0
C0509,30,37602,26227,754,0
C0510,57,123320,6978,312,0
C0511,29,108801,22991,509,0
C0512,44,45931,18153,696,0
C0513,55,114377,34548,399,0
C0514,55,49192,43676,330,1
C0515,56,66542,40071,827,1
C0516,38,147015,48454,628,0
C0517,59,62520,4983,465,0
C0518,52,84772,10503,758,0
C0519,44,70106,30921,399,0
C0520,43,101121,17905,472,1
C0521,52,45559,46838,461,0
C0522,57,125595,24953,562,0
C0523,32,53742,27806,573,0
C0524,33,89669,46000,302,0
C0525,43,172826,23168,327,0
C0526,45,155044,5583,625,0
C0527,55,90831,39714,448,0
C0528,61,132217,40896,839,0
C0529,50,61873,12889,787,0
C0530,37,126532,28413,737,0
C0531,40,146267,13275,364,0
C0532,45,160975,3461,655,0
C0533,42,154092,15291,832,0
C0534,33,61755,47804,551,0
C0535,39,105956,12435,534,0
C0536,56,106988,28935,526,0
C0537,32,65648,34453,824,1
C0538,61,145991,19544,612,1
C0539,39,160588,13258,348,0
C0540,32,135005,31841,417,1
C0541,29,22396,49758,353,0
C0542,27,104082,11736,343,0
C0543,48,170201,38643,352,0
C0544,34,148322,44950,824,0
C0545,51,152663,35964,401,0
C0546,39,31303,29044,697,0
C0547,36,181633,40933,437,0
C0548,25,91719,16997,686,0
C0549,55,119616,15215,410,0
C0550,32,144165,34069,316,1
C0551,45,106231,24911,481,0
C0552,41,27314,18030,835,0
C0553,56,39623,30334,840,0
C0554,43,125228,15571,470,0
C0555,36,184202,43719,708,0
C0556,59,117624,29927,677,0
C0557,62,177364,21714,487,0
C0558,59,131785,44541,529,0
C0559,34,106206,24387,418,0
C0560,51,89274,29444,455,0
C0561,25,153541,49908,764,0
C0562,55,73947,20921,403,0
C0563,43,173606,14057,801,0
C0564,49,68874,46268,474,0
C0565,63,69708,25858,720,1
C0566,31,94553,49689,433,1
C0567,38,88344,45638,690,1
C0568,32,69138,27062,800,0
C0569,29,67638,37850,332,0
C0570,30,98249,47486,354,0
C0571,64,125865,21567,818,0
C0572,37,22719,30739,311,0
C0573,58,173962,44285,827,0
C0574,27,187581,4754,672,1
C0575,33,62534,28044,783,0
C0576,60,112241,2724,527,1
C0577,62,169859,2376,606,0
C0578,29,146209,9706,756,0
C0579,47,199917,9894,459,0
C0580,22,112124,19037,630,0
C0581,25,111659,19450,524,0
C0582,49,184134,17406,803,0
C0583,57,95713,30725,755,0
C0584,58,95418,6926,344,0
C0585,39,148232,40019,513,1
C0586,28,185904,10496,358,1
C0587,21,183038,37068,494,1
C0588,42,164059,30806,788,0
C0589,37,188383,23663,456,0
C0590,27,51575,42321,525,0
C0591,45,83852,37495,711,0
C0592,24,152079,23656,504,0
C0593,56,96242,26860,378,0
C0594,26,198589,17832,423,0
C0595,51,49257,39787,770,0
C0596,39,193279,49231,517,0
C0597,64,164353,22727,815,0
C0598,59,81246,43815,403,0
C0599,47,21435,30545,692,0
C0600,30,111357,45522,733,0
C0601,46,177732,3520,630,0
C0602,39,156156,4081,442,0
C0603,59,164579,35196,839,0
C0604,23,103807,37735,577,0
C0605,33,196611,40213,532,0
C0606,48,135953,15566,828,0
C0607,40,158563,15042,389,0
C0608,48,143797,26498,791,1
C0609,28,83888,12329,498,0
C0610,61,93609,32656,661,0
C0611,59,29077,3159,740,0
C0612,21,40953,38900,325,0
C0613,23,134682,20363,324,0
C0614,33,87889,48701,693,0
C0615,48,174893,44241,806,0
C0616,45,188639,20033,600,0
C0617,53,135374,11805,638,0
C0618,58,44860,36851,566,0
C0619,26,172267,27832,760,1
C0620,64,97475,14944,755,0
C0621,52,107266,20873,659,1
C0622,41,172499,41372,367,0
C0623,36,120732,24928,711,1
C0624,41,47083,16379,790,1
C0625,31,77372,37751,348,0
C0626,57,143786,35546,401,0
C0627,56,195136,25286,515,0
C0628,55,27813,6110,737,0
C0629,39,51598,13087,458,0
C0630,40,113106,24762,788,0
C0631,38,47082,18081,541,0
C0632,61,49241,35947,304,0
C0633,34,195641,10596,660,1
C0634,35,31745,39019,758,0
C0635,51,46029,43003,547,0
C0636,21,164097,19313,721,0
C0637,23,143395,48639,314,1
C0638,36,165360,2013,421,0
C0639,43,109186,24705,576,0
C0640,31,157612,2828,752,0
C0641,32,117768,8909,689,0
C0642,30,61846,39356,593,0
C0643,52,95932,14109,745,1
C0644,36,168554,3023,509,0
C0645,28,43411,15537,601,0
C0646,58,98797,27661,522,1
C0647,32,72307,39659,302,0
C0648,44,154165,34848,817,0
C0649,48,42042,38804,392,1
C0650,28,72930,16379,819,0
C0651,48,195485,28766,727,0
C0652,56,117883,44590,792,0
C0653,46,53756,3563,534,0
C0654,28,73268,37060,460,0
C0655,48,190286,30197,630,0
C0656,48,179674,4586,632,0
C0657,57,68901,17087,349,1
C0658,61,119986,49868,822,0
C0659,56,183268,24225,791,1
C0660,47,148386,30750,571,1
C0661,37,25626,7643,551,0
C0662,29,158496,28523,389,0
C0663,53,32857,37727,745,0
C0664,40,171054,12005,631,0
C0665,33,153052,44543,438,1
C0666,48,199362,1161,656,0
C0667,49,46431,17029,573,0
C0668,33,104976,15226,318,0
C0669,55,102711,29731,610,0
C0670,26,46385,44922,453,0
C0671,38,189230,45848,689,0
C0672,25,174091,4390,559,0
C0673,45,38639,6997,424,0
C0674,22,105530,13693,653,0
C0675,30,41563,43092,572,0
C0676,50,190413,1541,544,0
C0677,25,135672,22817,749,1
C0678,53,156848,38861,546,0
C0679,21,187516,14428,819,0
C0680,38,159783,44934,440,0
C0681,52,102970,49831,661,0
C0682,31,105553,11258,307,1
C0683,41,181779,17044,777,0
C0684,46,190182,30411,651,0
C0685,45,102879,6469,794,0
C0686,42,189899,29854,726,0
C0687,47,156727,7256,338,0
C0688,33,64859,11720,486,0
C0689,53,72098,34937,392,0
C0690,54,166323,34598,385,0
C0691,61,142413,2651,343,0
C0692,55,20526,20194,436,1
C0693,21,88760,26051,720,0
C0694,41,67837,28386,373,0
C0695,26,31536,10518,847,0
C0696,48,48541,47026,811,1
C0697,37,99083,17184,455,0
C0698,25,54531,34787,554,1
C0699,51,28712,22621,470,0
C0700,25,124101,11028,469,0
C0701,58,85455,13448,621,0
C0702,23,94744,46253,755,0
C0703,43,149749,35051,454,0
C0704,57,25109,31447,648,0
C0705,57,69268,19394,750,0
C0706,30,74615,35501,472,0
C0707,30,102503,31254,309,0
C0708,39,180831,19509,564,0
C0709,37,105708,49998,737,0
C0710,41,122471,15472,546,0
C0711,34,177661,46657,845,0
C0712,29,181087,4471,798,0
C0713,21,180081,42796,428,1
C0714,33,103309,31268,626,0
C0715,24,146446,9329,703,0
C0716,21,126661,35865,658,0
C0717,60,177215,47850,316,1
C0718,52,26154,47698,573,0
C0719,54,172876,29272,415,0
C0720,48,192760,43845,390,1
C0721,51,84288,7397,381,0
C0722,28,71195,33373,623,0
C0723,59,40581,36525,413,0
C0724,46,50087,25570,357,0
C0725,54,184053,19284,453,0
C0726,23,89298,19994,703,1
C0727,32,66167,24284,565,0
C0728,21,194480,18833,614,1
C0729,64,59499,26122,340,0
C0730,25,145816,6017,404,0
C0731,50,189631,17370,492,0
C0732,50,116347,30252,700,0
C0733,37,68787,8999,577,0
C0734,43,55488,23436,653,0
C0735,35,94441,43963,555,0
C0736,57,42431,3096,398,0
C0737,41,81681,49201,581,0
C0738,34,142720,26279,702,0
C0739,22,69153,44363,408,0
C0740,31,26368,49709,498,0
C0741,59,178496,27201,602,0
C0742,58,132360,20715,626,1
C0743,54,196076,30309,453,0
C0744,58,132755,16078,704,0
C0745,54,76985,6105,761,0
C0746,38,70069,30312,431,0
C0747,50,72326,3839,383,0
C0748,35,128737,4384,698,1
C0749,47,174470,44619,408,1
C0750,54,70861,43821,520,0
C0751,58,95897,14493,667,0
C0752,53,147118,18069,446,0
C0753,44,88577,47907,411,0
C0754,35,29078,8531,793,0
C0755,50,176075,38051,804,0
C0756,62,82768,8736,774,0
C0757,37,71047,8710,570,0
C0758,25,91626,2619,720,0
C0759,49,77660,14975,666,1
C0760,24,152997,46603,579,0
C0761,30,137832,24252,582,0
C0762,37,150406,16261,339,0
C0763,30,145150,2431,488,1
C0764,37,177087,10067,463,1
C0765,40,53320,38481,835,0
C0766,44,84881,28037,835,0
C0767,25,110827,10557,303,0
C0768,54,122215,10435,589,0
C0769,26,177361,38766,732,0
C0770,22,154461,1162,770,0
C0771,33,176755,35742,480,0
C0772,63,164701,20675,547,0
C0773,63,81550,9461,578,0
C0774,31,44826,18015,553,1
C0775,43,120734,33591,480,0
C0776,36,177702,29047,808,0
C0777,51,197235,35782,625,0
C0778,31,118511,10833,656,0
C0779,36,31653,8896,690,0
C0780,28,179033,33972,384,0
C0781,24,101941,42800,616,1
C0782,60,53662,31508,511,0
C0783,24,118818,6347,814,0
C0784,45,172360,31314,683,1
C0785,23,115081,3643,641,0
C0786,52,56877,41785,337,0
C0787,23,131562,19681,810,0
C0788,47,166385,39328,719,0
C0789,49,92715,16892,468,0
C0790,52,161398,48299,642,0
C0791,39,130091,18073,605,0
C0792,41,152632,37768,841,0
C0793,25,99148,31682,836,0
C0794,38,103186,33262,411,0
C0795,48,177817,32358,710,0
C0796,62,182962,15289,505,1
C0797,42,171094,8927,484,0
C0798,41,143629,49330,681,0
C0799,26,90316,2171,795,1
C0800,21,48380,12918,678,0
C0801,25,130198,42903,346,0
C0802,61,22356,40110,827,0
C0803,32,90326,12929,803,0
C0804,46,112447,3539,321,0
C0805,54,134994,37727,512,0
C0806,34,40049,46951,609,0
C0807,46,125361,23669,571,0
C0808,47,36082,6432,501,1
C0809,29,20661,21644,331,0
C0810,46,188484,19745,742,1
C0811,42,22920,29228,461,0
C0812,50,99561,35521,553,1
C0813,63,28946,32703,820,0
C0814,37,196572,27928,779,0
C0815,46,36309,19322,309,0
C0816,56,75230,23360,804,0
C0817,21,131822,30055,735,0
C0818,28,181099,43891,410,1
C0819,55,132340,17376,452,1
C0820,35,79321,7588,401,0
C0821,42,152028,26000,490,0
C0822,34,94131,7304,380,0
C0823,46,198980,8345,788,0
C0824,48,45963,30300,387,0
C0825,43,121757,25259,493,0
C0826,34,190515,26470,403,1
C0827,44,119259,24017,395,0
C0828,22,59063,16352,722,0
C0829,46,134225,34365,497,0
C0830,34,136400,20446,300,0
C0831,27,100818,3336,706,0
C0832,23,24703,10879,677,0
C0833,43,92099,33316,466,1
C0834,63,176921,34340,808,0
C0835,38,182932,8521,612,0
C0836,58,51585,7171,717,1
C0837,55,173087,24481,776,0
C0838,35,63585,19474,372,0
C0839,45,46958,47760,440,0
C0840,57,46017,45629,561,0
C0841,48,144677,46232,639,0
C0842,30,196422,22008,607,0
C0843,59,163273,2633,544,0
C0844,37,49426,13485,814,0
C0845,59,37778,44617,636,1
C0846,42,196313,4648,375,0
C0847,46,62229,48945,474,0
C0848,64,106652,14140,408,0
C0849,45,148267,18921,482,0
C0850,37,199436,15357,491,0
C0851,33,146503,47136,364,1
C0852,40,104878,4137,773,1
C0853,45,77056,1097,399,0
C0854,24,178562,12407,843,0
C0855,30,39975,31575,427,0
C0856,23,177795,13722,751,0
C0857,61,174351,13924,668,0
C0858,38,162633,4750,342,1
C0859,56,108397,28733,718,0
C0860,42,53142,9535,787,0
C0861,54,46916,25487,377,0
C0862,28,84324,31651,569,1
C0863,60,196037,5666,614,0
C0864,64,145932,49777,467,1
C0865,39,155720,17994,638,0
C0866,62,186205,2727,492,0
C0867,61,116059,35622,752,0
C0868,57,118317,11800,582,0
C0869,26,55046,38823,635,0
C0870,46,198136,44039,689,0
C0871,54,121459,19708,824,0
